slot_id,checkin_timestamp,checkout_timestamp,day_of_week,slot_type,event_type,is_event_day,wait_time_minute
C3,2025-01-01 06:00:00,2025-01-01 07:43:00,Wednesday,car,festival,1,14
C1,2025-01-01 06:15:00,2025-01-01 08:00:00,Wednesday,car,festival,1,0
C3,2025-01-01 06:27:50,2025-01-01 09:25:50,Wednesday,car,festival,1,24
B1,2025-01-01 06:30:00,2025-01-01 09:13:00,Wednesday,bike,festival,1,0
A1,2025-01-01 06:45:00,2025-01-01 09:12:00,Wednesday,abled,festival,1,3
B1,2025-01-01 07:13:00,2025-01-01 08:39:00,Wednesday,bike,festival,1,5
A1,2025-01-01 07:15:00,2025-01-01 09:51:00,Wednesday,abled,festival,1,31
C2,2025-01-01 07:32:00,2025-01-01 09:20:00,Wednesday,car,festival,1,27
C3,2025-01-01 07:39:00,2025-01-01 09:34:00,Wednesday,car,festival,1,0
B2,2025-01-01 08:03:00,2025-01-01 09:32:00,Wednesday,bike,festival,1,8
A1,2025-01-01 08:15:00,2025-01-01 10:25:00,Wednesday,abled,festival,1,12
B1,2025-01-01 08:25:00,2025-01-01 09:16:00,Wednesday,bike,festival,1,19
C3,2025-01-01 08:46:00,2025-01-01 11:00:00,Wednesday,car,festival,1,41
C2,2025-01-01 08:49:00,2025-01-01 09:57:00,Wednesday,car,festival,1,30
C3,2025-01-01 09:02:00,2025-01-01 11:38:00,Wednesday,car,festival,1,18
A1,2025-01-01 09:13:00,2025-01-01 12:13:00,Wednesday,abled,festival,1,43
C1,2025-01-01 09:15:00,2025-01-01 11:15:00,Wednesday,car,festival,1,38
C3,2025-01-01 09:24:00,2025-01-01 11:14:00,Wednesday,car,festival,1,0
B2,2025-01-01 09:25:35,2025-01-01 09:55:35,Wednesday,bike,festival,1,14
B1,2025-01-01 09:27:00,2025-01-01 11:34:00,Wednesday,bike,festival,1,29
C1,2025-01-01 09:32:42,2025-01-01 11:27:42,Wednesday,car,festival,1,7
A1,2025-01-01 09:35:08,2025-01-01 10:54:08,Wednesday,abled,festival,1,18
B2,2025-01-01 09:42:26,2025-01-01 11:35:26,Wednesday,bike,festival,1,17
B2,2025-01-01 09:47:00,2025-01-01 11:27:00,Wednesday,bike,festival,1,32
C2,2025-01-01 09:49:00,2025-01-01 12:02:00,Wednesday,car,festival,1,33
A1,2025-01-01 09:53:00,2025-01-01 11:57:00,Wednesday,abled,festival,1,0
C1,2025-01-01 10:06:00,2025-01-01 10:53:00,Wednesday,car,festival,1,72
A1,2025-01-01 10:11:00,2025-01-01 12:35:00,Wednesday,abled,festival,1,45
A1,2025-01-01 10:19:00,2025-01-01 10:50:00,Wednesday,abled,festival,1,0
C3,2025-01-01 10:19:00,2025-01-01 12:23:00,Wednesday,car,festival,1,0
C3,2025-01-01 10:20:00,2025-01-01 13:02:00,Wednesday,car,festival,1,66
C3,2025-01-01 10:28:00,2025-01-01 11:05:00,Wednesday,car,festival,1,23
A1,2025-01-01 10:29:28,2025-01-01 12:52:28,Wednesday,abled,festival,1,33
B2,2025-01-01 10:33:00,2025-01-01 12:11:00,Wednesday,bike,festival,1,61
C1,2025-01-01 10:54:00,2025-01-01 13:10:00,Wednesday,car,festival,1,57
B1,2025-01-01 11:03:00,2025-01-01 13:14:00,Wednesday,bike,festival,1,40
C3,2025-01-01 11:06:00,2025-01-01 12:57:00,Wednesday,car,festival,1,34
A1,2025-01-01 11:25:00,2025-01-01 13:42:00,Wednesday,abled,festival,1,52
C3,2025-01-01 11:47:00,2025-01-01 13:48:00,Wednesday,car,festival,1,30
A1,2025-01-01 11:47:00,2025-01-01 13:34:00,Wednesday,abled,festival,1,33
C2,2025-01-01 12:01:00,2025-01-01 14:12:00,Wednesday,car,festival,1,48
B2,2025-01-01 12:20:00,2025-01-01 14:10:00,Wednesday,bike,festival,1,58
B2,2025-01-01 12:26:00,2025-01-01 13:33:00,Wednesday,bike,festival,1,45
A1,2025-01-01 12:36:00,2025-01-01 14:29:00,Wednesday,abled,festival,1,65
A1,2025-01-01 12:43:47,2025-01-01 13:57:47,Wednesday,abled,festival,1,59
C1,2025-01-01 12:45:00,2025-01-01 15:03:00,Wednesday,car,festival,1,72
C3,2025-01-01 13:14:00,2025-01-01 15:31:00,Wednesday,car,festival,1,67
A1,2025-01-01 13:17:00,2025-01-01 15:00:00,Wednesday,abled,festival,1,0
B1,2025-01-01 13:30:00,2025-01-01 15:00:00,Wednesday,bike,festival,1,61
C2,2025-01-01 13:38:00,2025-01-01 15:00:00,Wednesday,car,festival,1,37
A1,2025-01-01 13:39:00,2025-01-01 16:06:00,Wednesday,abled,festival,1,25
C2,2025-01-01 13:52:00,2025-01-01 15:58:00,Wednesday,car,festival,1,70
C1,2025-01-01 14:04:00,2025-01-01 16:12:00,Wednesday,car,festival,1,38
A1,2025-01-01 14:08:00,2025-01-01 15:56:00,Wednesday,abled,festival,1,38
B2,2025-01-01 14:33:00,2025-01-01 16:21:00,Wednesday,bike,festival,1,53
C1,2025-01-01 14:40:00,2025-01-01 15:31:00,Wednesday,car,festival,1,29
C1,2025-01-01 14:45:00,2025-01-01 16:50:00,Wednesday,car,festival,1,41
B2,2025-01-01 14:52:00,2025-01-01 15:28:00,Wednesday,bike,festival,1,19
C3,2025-01-01 15:03:00,2025-01-01 17:09:00,Wednesday,car,festival,1,56
B1,2025-01-01 15:15:00,2025-01-01 16:59:00,Wednesday,bike,festival,1,42
A1,2025-01-01 15:27:00,2025-01-01 17:25:00,Wednesday,abled,festival,1,34
B1,2025-01-01 15:28:00,2025-01-01 16:42:00,Wednesday,bike,festival,1,48
C2,2025-01-01 15:40:00,2025-01-01 17:38:00,Wednesday,car,festival,1,47
B2,2025-01-01 15:50:57,2025-01-01 17:03:57,Wednesday,bike,festival,1,72
B2,2025-01-01 15:56:00,2025-01-01 17:44:00,Wednesday,bike,festival,1,50
C3,2025-01-01 16:12:00,2025-01-01 18:14:00,Wednesday,car,festival,1,65
C1,2025-01-01 16:24:00,2025-01-01 18:30:00,Wednesday,car,festival,1,59
A1,2025-01-01 16:36:00,2025-01-01 18:48:00,Wednesday,abled,festival,1,60
C3,2025-01-01 16:48:00,2025-01-01 18:28:00,Wednesday,car,festival,1,27
B1,2025-01-01 16:58:00,2025-01-01 18:59:00,Wednesday,bike,festival,1,67
C2,2025-01-01 17:15:00,2025-01-01 19:14:00,Wednesday,car,festival,1,66
B2,2025-01-01 17:28:00,2025-01-01 19:40:00,Wednesday,bike,festival,1,62
C3,2025-01-01 17:41:00,2025-01-01 19:47:00,Wednesday,car,festival,1,63
C1,2025-01-01 17:59:00,2025-01-01 20:02:00,Wednesday,car,festival,1,55
A1,2025-01-01 18:18:00,2025-01-01 20:33:00,Wednesday,abled,festival,1,49
B1,2025-01-01 18:27:00,2025-01-01 20:36:00,Wednesday,bike,festival,1,54
B2,2025-01-01 18:32:00,2025-01-01 20:21:00,Wednesday,bike,festival,1,20
C2,2025-01-01 18:45:00,2025-01-01 20:58:00,Wednesday,car,festival,1,60
C1,2025-01-01 19:01:00,2025-01-01 21:11:00,Wednesday,car,festival,1,68
B2,2025-01-01 19:03:00,2025-01-01 21:17:00,Wednesday,bike,festival,1,50
C1,2025-01-01 19:11:00,2025-01-01 20:23:00,Wednesday,car,festival,1,29
C3,2025-01-01 19:20:00,2025-01-01 21:35:00,Wednesday,car,festival,1,57
C1,2025-01-01 19:32:00,2025-01-01 21:48:00,Wednesday,car,festival,1,44
A1,2025-01-01 20:00:00,2025-01-01 21:58:00,Wednesday,abled,festival,1,32
B1,2025-01-01 20:12:00,2025-01-01 21:44:00,Wednesday,bike,festival,1,30
C2,2025-01-01 20:25:00,2025-01-01 22:10:00,Wednesday,car,festival,1,29
B2,2025-01-01 20:27:00,2025-01-01 23:27:00,Wednesday,bike,festival,1,90
B2,2025-01-01 20:41:00,2025-01-01 22:23:00,Wednesday,bike,festival,1,27
C3,2025-01-01 21:00:00,2025-01-01 23:00:00,Wednesday,car,festival,1,34
C1,2025-01-01 21:15:00,2025-01-01 23:20:00,Wednesday,car,festival,1,39
C2,2025-01-01 21:19:14,2025-01-01 22:39:14,Wednesday,car,festival,1,49
A1,2025-01-01 21:30:00,2025-01-01 23:50:00,Wednesday,abled,festival,1,44
C3,2025-01-01 21:43:00,2025-01-02 00:24:00,Wednesday,car,festival,1,34
B1,2025-01-01 22:00:00,2025-01-01 23:59:00,Wednesday,bike,festival,1,41
C3,2025-01-01 22:02:00,2025-01-02 00:59:00,Wednesday,car,festival,1,18
C1,2025-01-01 22:36:00,2025-01-01 23:31:00,Wednesday,car,festival,1,42
B2,2025-01-01 23:32:00,2025-01-02 02:08:00,Wednesday,bike,festival,1,18
C2,2025-01-01 23:57:00,2025-01-02 00:43:00,Wednesday,car,festival,1,34
C1,2025-01-02 00:12:00,2025-01-02 02:31:00,Thursday,car,regular,0,3
A1,2025-01-02 00:34:00,2025-01-02 03:02:00,Thursday,abled,regular,0,1
A1,2025-01-02 01:04:00,2025-01-02 03:37:00,Thursday,abled,regular,0,2
B2,2025-01-02 01:48:00,2025-01-02 03:09:00,Thursday,bike,regular,0,5
B1,2025-01-02 01:48:00,2025-01-02 04:08:00,Thursday,bike,regular,0,5
C3,2025-01-02 01:59:00,2025-01-02 04:11:00,Thursday,car,regular,0,2
C2,2025-01-02 02:45:00,2025-01-02 04:34:00,Thursday,car,regular,0,5
C3,2025-01-02 03:00:00,2025-01-02 05:03:00,Thursday,car,regular,0,1
B1,2025-01-02 03:26:00,2025-01-02 05:02:00,Thursday,bike,regular,0,4
B1,2025-01-02 03:27:00,2025-01-02 05:18:00,Thursday,bike,regular,0,1
B1,2025-01-02 03:50:00,2025-01-02 05:29:00,Thursday,bike,regular,0,4
C3,2025-01-02 04:48:00,2025-01-02 05:43:00,Thursday,car,regular,0,3
B2,2025-01-02 05:09:00,2025-01-02 07:01:00,Thursday,bike,regular,0,1
B2,2025-01-02 05:22:00,2025-01-02 07:15:00,Thursday,bike,regular,0,6
C1,2025-01-02 05:34:00,2025-01-02 07:01:00,Thursday,car,regular,0,4
A1,2025-01-02 06:07:00,2025-01-02 08:30:00,Thursday,abled,regular,0,7
C1,2025-01-02 06:11:00,2025-01-02 07:58:00,Thursday,car,regular,0,9
A1,2025-01-02 07:42:00,2025-01-02 09:28:00,Thursday,abled,regular,0,10
B2,2025-01-02 07:44:00,2025-01-02 08:41:00,Thursday,bike,regular,0,30
C2,2025-01-02 08:35:00,2025-01-02 10:12:00,Thursday,car,regular,0,15
C2,2025-01-02 08:50:00,2025-01-02 09:22:00,Thursday,car,regular,0,22
C2,2025-01-02 09:17:00,2025-01-02 10:22:00,Thursday,car,regular,0,21
C3,2025-01-02 09:18:00,2025-01-02 10:45:00,Thursday,car,regular,0,14
B1,2025-01-02 09:51:00,2025-01-02 11:30:00,Thursday,bike,regular,0,11
B2,2025-01-02 10:24:00,2025-01-02 12:01:00,Thursday,bike,regular,0,8
A1,2025-01-02 11:19:00,2025-01-02 13:44:00,Thursday,abled,regular,0,9
B2,2025-01-02 11:56:00,2025-01-02 13:18:00,Thursday,bike,regular,0,30
C1,2025-01-02 12:02:00,2025-01-02 13:41:00,Thursday,car,regular,0,6
C3,2025-01-02 13:26:00,2025-01-02 15:12:00,Thursday,car,regular,0,7
B2,2025-01-02 13:45:00,2025-01-02 15:48:00,Thursday,bike,regular,0,19
B1,2025-01-02 14:00:00,2025-01-02 16:23:00,Thursday,bike,regular,0,19
C2,2025-01-02 14:33:00,2025-01-02 16:04:00,Thursday,car,regular,0,5
B1,2025-01-02 15:47:00,2025-01-02 17:18:00,Thursday,bike,regular,0,8
B1,2025-01-02 16:09:00,2025-01-02 16:53:00,Thursday,bike,regular,0,5
A1,2025-01-02 16:53:00,2025-01-02 18:36:00,Thursday,abled,regular,0,6
B2,2025-01-02 16:54:00,2025-01-02 18:15:00,Thursday,bike,regular,0,22
C2,2025-01-02 17:11:00,2025-01-02 18:52:00,Thursday,car,regular,0,9
B2,2025-01-02 18:04:00,2025-01-02 19:45:00,Thursday,bike,regular,0,11
C2,2025-01-02 18:06:00,2025-01-02 21:00:00,Thursday,car,regular,0,17
B2,2025-01-02 19:10:00,2025-01-02 20:40:00,Thursday,bike,regular,0,17
C3,2025-01-02 19:15:00,2025-01-02 21:28:00,Thursday,car,regular,0,12
C2,2025-01-02 19:22:00,2025-01-02 20:13:00,Thursday,car,regular,0,27
C3,2025-01-02 19:50:00,2025-01-02 21:32:00,Thursday,car,regular,0,13
C1,2025-01-02 20:07:00,2025-01-02 21:30:00,Thursday,car,regular,0,7
A1,2025-01-02 20:42:00,2025-01-02 21:45:00,Thursday,abled,regular,0,20
A1,2025-01-02 21:18:00,2025-01-02 22:41:00,Thursday,abled,regular,0,9
A1,2025-01-02 22:11:00,2025-01-02 22:47:00,Thursday,abled,regular,0,27
B2,2025-01-02 22:15:00,2025-01-02 23:01:00,Thursday,bike,regular,0,27
B1,2025-01-02 22:28:00,2025-01-02 23:48:00,Thursday,bike,regular,0,10
B2,2025-01-02 22:38:00,2025-01-02 23:45:00,Thursday,bike,regular,0,20
C3,2025-01-02 22:54:00,2025-01-03 00:44:00,Thursday,car,regular,0,18
B2,2025-01-02 23:28:00,2025-01-03 00:29:00,Thursday,bike,regular,0,0
C3,2025-01-02 23:35:00,2025-01-03 00:18:00,Thursday,car,regular,0,1
C3,2025-01-02 23:35:00,2025-01-03 01:13:00,Thursday,car,regular,0,8
C2,2025-01-02 23:53:00,2025-01-03 01:29:00,Thursday,car,regular,0,4
C3,2025-01-03 00:04:00,2025-01-03 01:11:00,Friday,car,regular,0,2
C3,2025-01-03 00:17:00,2025-01-03 01:28:00,Friday,car,regular,0,2
C1,2025-01-03 00:45:00,2025-01-03 03:02:00,Friday,car,regular,0,1
B2,2025-01-03 01:03:00,2025-01-03 03:25:00,Friday,bike,regular,0,1
C2,2025-01-03 01:21:00,2025-01-03 04:07:00,Friday,car,regular,0,4
A1,2025-01-03 01:41:00,2025-01-03 02:52:00,Friday,abled,regular,0,2
A1,2025-01-03 02:06:00,2025-01-03 03:23:00,Friday,abled,regular,0,3
B1,2025-01-03 02:42:00,2025-01-03 04:28:00,Friday,bike,regular,0,5
C1,2025-01-03 03:12:00,2025-01-03 05:14:00,Friday,car,regular,0,1
B2,2025-01-03 04:06:00,2025-01-03 05:56:00,Friday,bike,regular,0,2
C3,2025-01-03 04:30:00,2025-01-03 07:15:00,Friday,car,regular,0,2
A1,2025-01-03 04:36:00,2025-01-03 05:56:00,Friday,abled,regular,0,0
C1,2025-01-03 05:33:00,2025-01-03 06:53:00,Friday,car,regular,0,1
C2,2025-01-03 05:37:00,2025-01-03 06:51:00,Friday,car,regular,0,3
C1,2025-01-03 05:41:00,2025-01-03 08:33:00,Friday,car,regular,0,3
A1,2025-01-03 05:59:00,2025-01-03 07:00:00,Friday,abled,regular,0,2
C3,2025-01-03 06:11:00,2025-01-03 07:32:00,Friday,car,regular,0,2
B1,2025-01-03 06:48:00,2025-01-03 08:02:00,Friday,bike,regular,0,4
C1,2025-01-03 06:56:00,2025-01-03 08:14:00,Friday,car,regular,0,2
C1,2025-01-03 06:57:00,2025-01-03 07:31:00,Friday,car,regular,0,3
B1,2025-01-03 07:21:00,2025-01-03 08:48:00,Friday,bike,regular,0,4
C1,2025-01-03 07:41:00,2025-01-03 09:59:00,Friday,car,regular,0,0
B2,2025-01-03 08:30:00,2025-01-03 10:40:00,Friday,bike,regular,0,4
C2,2025-01-03 08:48:00,2025-01-03 09:22:00,Friday,car,regular,0,4
C1,2025-01-03 09:05:00,2025-01-03 10:48:00,Friday,car,regular,0,6
C3,2025-01-03 09:20:00,2025-01-03 11:16:00,Friday,car,regular,0,4
C2,2025-01-03 10:01:00,2025-01-03 11:47:00,Friday,car,regular,0,4
B1,2025-01-03 10:38:00,2025-01-03 12:02:00,Friday,bike,regular,0,4
C2,2025-01-03 10:43:00,2025-01-03 12:19:00,Friday,car,regular,0,1
A1,2025-01-03 11:08:00,2025-01-03 12:30:00,Friday,abled,regular,0,5
C3,2025-01-03 11:22:00,2025-01-03 13:10:00,Friday,car,regular,0,3
C2,2025-01-03 12:31:00,2025-01-03 14:19:00,Friday,car,regular,0,4
B2,2025-01-03 12:52:00,2025-01-03 14:57:00,Friday,bike,regular,0,3
C1,2025-01-03 12:58:00,2025-01-03 13:39:00,Friday,car,regular,0,1
C1,2025-01-03 13:10:00,2025-01-03 14:41:00,Friday,car,regular,0,0
B2,2025-01-03 13:35:00,2025-01-03 15:08:00,Friday,bike,regular,0,3
C1,2025-01-03 13:53:00,2025-01-03 15:21:00,Friday,car,regular,0,2
B1,2025-01-03 14:19:00,2025-01-03 15:55:00,Friday,bike,regular,0,6
C1,2025-01-03 15:11:00,2025-01-03 16:42:00,Friday,car,regular,0,5
C2,2025-01-03 15:18:00,2025-01-03 16:42:00,Friday,car,regular,0,1
B2,2025-01-03 15:36:00,2025-01-03 17:28:00,Friday,bike,regular,0,2
B1,2025-01-03 16:08:00,2025-01-03 18:45:00,Friday,bike,regular,0,4
C2,2025-01-03 16:25:00,2025-01-03 18:10:00,Friday,car,regular,0,6
C3,2025-01-03 16:33:00,2025-01-03 19:00:00,Friday,car,regular,0,1
A1,2025-01-03 17:03:00,2025-01-03 18:45:00,Friday,abled,regular,0,8
B1,2025-01-03 17:04:00,2025-01-03 18:04:00,Friday,bike,regular,0,15
A1,2025-01-03 18:00:00,2025-01-03 18:36:00,Friday,abled,regular,0,24
A1,2025-01-03 18:07:00,2025-01-03 19:53:00,Friday,abled,regular,0,14
B2,2025-01-03 18:27:00,2025-01-03 20:12:00,Friday,bike,regular,0,9
B1,2025-01-03 18:45:00,2025-01-03 20:03:00,Friday,bike,regular,0,7
C1,2025-01-03 18:50:00,2025-01-03 19:36:00,Friday,car,regular,0,16
C3,2025-01-03 19:09:00,2025-01-03 21:03:00,Friday,car,regular,0,10
B2,2025-01-03 19:13:00,2025-01-03 20:26:00,Friday,bike,regular,0,21
C1,2025-01-03 19:23:00,2025-01-03 21:45:00,Friday,car,regular,0,15
B1,2025-01-03 19:23:00,2025-01-03 20:56:00,Friday,bike,regular,0,17
C3,2025-01-03 19:24:00,2025-01-03 20:10:00,Friday,car,regular,0,10
A1,2025-01-03 19:33:00,2025-01-03 22:12:00,Friday,abled,regular,0,25
A1,2025-01-03 19:50:00,2025-01-03 21:36:00,Friday,abled,regular,0,10
B1,2025-01-03 20:01:00,2025-01-03 21:46:00,Friday,bike,regular,0,7
C1,2025-01-03 20:40:00,2025-01-03 22:19:00,Friday,car,regular,0,6
B1,2025-01-03 21:01:00,2025-01-03 22:20:00,Friday,bike,regular,0,5
B1,2025-01-03 21:08:00,2025-01-03 23:27:00,Friday,bike,regular,0,4
A1,2025-01-03 21:14:00,2025-01-03 23:08:00,Friday,abled,regular,0,5
A1,2025-01-03 21:16:00,2025-01-03 23:18:00,Friday,abled,regular,0,3
C2,2025-01-03 22:23:00,2025-01-03 23:06:00,Friday,car,regular,0,2
C2,2025-01-03 22:50:00,2025-01-04 00:30:00,Friday,car,regular,0,3
C3,2025-01-03 23:27:00,2025-01-04 01:01:00,Friday,car,regular,0,2
C2,2025-01-03 23:47:00,2025-01-04 01:57:00,Friday,car,regular,0,2
C2,2025-01-04 01:20:00,2025-01-04 04:09:00,Saturday,car,regular,0,2
C3,2025-01-04 01:33:00,2025-01-04 03:29:00,Saturday,car,regular,0,3
A1,2025-01-04 02:36:00,2025-01-04 03:11:00,Saturday,abled,regular,0,0
B2,2025-01-04 04:08:00,2025-01-04 06:36:00,Saturday,bike,regular,0,2
A1,2025-01-04 05:12:00,2025-01-04 07:40:00,Saturday,abled,regular,0,1
B2,2025-01-04 05:44:00,2025-01-04 08:23:00,Saturday,bike,regular,0,5
B1,2025-01-04 05:55:00,2025-01-04 06:29:00,Saturday,bike,regular,0,1
C1,2025-01-04 06:23:00,2025-01-04 08:34:00,Saturday,car,regular,0,2
A1,2025-01-04 06:59:00,2025-01-04 09:44:00,Saturday,abled,regular,0,3
B1,2025-01-04 07:00:00,2025-01-04 09:26:00,Saturday,bike,regular,0,4
B1,2025-01-04 07:44:00,2025-01-04 09:11:00,Saturday,bike,regular,0,3
C2,2025-01-04 08:13:00,2025-01-04 10:20:00,Saturday,car,regular,0,0
B2,2025-01-04 08:47:00,2025-01-04 09:18:00,Saturday,bike,regular,0,5
C3,2025-01-04 09:02:00,2025-01-04 10:35:00,Saturday,car,regular,0,1
B1,2025-01-04 09:15:00,2025-01-04 11:30:00,Saturday,bike,regular,0,5
C2,2025-01-04 09:39:00,2025-01-04 10:39:00,Saturday,car,regular,0,0
B1,2025-01-04 09:45:00,2025-01-04 10:21:00,Saturday,bike,regular,0,5
C2,2025-01-04 09:47:00,2025-01-04 12:31:00,Saturday,car,regular,0,0
A1,2025-01-04 10:11:00,2025-01-04 11:54:00,Saturday,abled,regular,0,17
B2,2025-01-04 10:39:00,2025-01-04 12:19:00,Saturday,bike,regular,0,4
B2,2025-01-04 11:03:00,2025-01-04 12:27:00,Saturday,bike,regular,0,9
A1,2025-01-04 11:28:00,2025-01-04 13:06:00,Saturday,abled,regular,0,6
C1,2025-01-04 11:55:00,2025-01-04 14:03:00,Saturday,car,regular,0,5
B1,2025-01-04 12:16:00,2025-01-04 14:45:00,Saturday,bike,regular,0,9
C2,2025-01-04 12:37:00,2025-01-04 13:24:00,Saturday,car,regular,0,20
C3,2025-01-04 13:47:00,2025-01-04 16:11:00,Saturday,car,regular,0,4
B2,2025-01-04 14:22:00,2025-01-04 16:48:00,Saturday,bike,regular,0,7
A1,2025-01-04 14:35:00,2025-01-04 17:01:00,Saturday,abled,regular,0,3
C1,2025-01-04 14:51:00,2025-01-04 17:43:00,Saturday,car,regular,0,2
B2,2025-01-04 15:03:00,2025-01-04 16:57:00,Saturday,bike,regular,0,2
A1,2025-01-04 15:07:00,2025-01-04 17:14:00,Saturday,abled,regular,0,5
A1,2025-01-04 15:15:00,2025-01-04 18:03:00,Saturday,abled,regular,0,4
C2,2025-01-04 15:49:00,2025-01-04 18:03:00,Saturday,car,regular,0,10
C1,2025-01-04 15:53:00,2025-01-04 17:47:00,Saturday,car,regular,0,3
B1,2025-01-04 16:27:00,2025-01-04 18:56:00,Saturday,bike,regular,0,15
C3,2025-01-04 17:02:00,2025-01-04 19:20:00,Saturday,car,regular,0,8
A1,2025-01-04 17:18:00,2025-01-04 19:40:00,Saturday,abled,regular,0,7
B1,2025-01-04 17:39:00,2025-01-04 20:20:00,Saturday,bike,regular,0,22
C1,2025-01-04 17:43:00,2025-01-04 20:16:00,Saturday,car,regular,0,10
B2,2025-01-04 18:25:00,2025-01-04 20:51:00,Saturday,bike,regular,0,11
B1,2025-01-04 18:59:00,2025-01-04 21:56:00,Saturday,bike,regular,0,12
C2,2025-01-04 19:03:00,2025-01-04 21:47:00,Saturday,car,regular,0,16
C1,2025-01-04 20:08:00,2025-01-04 22:14:00,Saturday,car,regular,0,5
B1,2025-01-04 20:15:00,2025-01-04 22:35:00,Saturday,bike,regular,0,14
C2,2025-01-04 20:36:00,2025-01-04 22:26:00,Saturday,car,regular,0,28
A1,2025-01-04 20:41:00,2025-01-04 23:03:00,Saturday,abled,regular,0,12
C3,2025-01-04 21:00:00,2025-01-04 23:36:00,Saturday,car,regular,0,9
C2,2025-01-04 22:18:00,2025-01-05 00:02:00,Saturday,car,regular,0,4
C3,2025-01-05 00:00:00,2025-01-05 02:10:00,Sunday,car,regular,0,2
B2,2025-01-05 00:22:00,2025-01-05 02:05:00,Sunday,bike,regular,0,1
C2,2025-01-05 01:03:00,2025-01-05 03:36:00,Sunday,car,regular,0,2
A1,2025-01-05 01:40:00,2025-01-05 03:36:00,Sunday,abled,regular,0,2
B1,2025-01-05 01:54:00,2025-01-05 03:57:00,Sunday,bike,regular,0,1
C2,2025-01-05 02:43:00,2025-01-05 03:39:00,Sunday,car,regular,0,1
C3,2025-01-05 02:45:00,2025-01-05 04:28:00,Sunday,car,regular,0,3
C1,2025-01-05 03:12:00,2025-01-05 04:15:00,Sunday,car,regular,0,5
C2,2025-01-05 04:11:00,2025-01-05 06:09:00,Sunday,car,regular,0,3
B1,2025-01-05 04:20:00,2025-01-05 07:03:00,Sunday,bike,regular,0,1
